image_name,barbe,moustache,lunettes,taille_cheveux,couleur_cheveux
s7_00000,0,0,0,0,0
s7_00001,0,1,0,2,1
s7_00002,1,1,0,1,2
s7_00003,1,1,1,2,1
s7_00004,1,0,0,2,1
s7_00005,0,0,1,1,0
s7_00006,1,1,0,2,1
s7_00007,0,0,0,2,1
s7_00008,0,0,0,1,4
s7_00009,1,1,0,2,4
s7_00010,0,0,1,1,1
s7_00011,1,0,0,1,1
s7_00012,1,1,0,1,4
s7_00013,1,0,1,2,0
s7_00014,0,0,1,2,1
s7_00015,0,0,0,2,1
s7_00016,0,0,0,2,4
s7_00017,1,0,1,1,4
s7_00018,0,0,1,1,4
s7_00019,1,1,0,0,4
s7_00020,0,0,0,2,0
s7_00021,0,1,1,1,4
s7_00022,0,0,1,2,4
s7_00023,0,0,0,1,4
s7_00024,1,0,0,2,1
s7_00025,0,0,0,2,1
s7_00026,0,0,1,2,0
s7_00027,0,0,0,1,3
s7_00028,0,0,1,2,3
s7_00029,1,1,0,2,1
s7_00030,0,0,1,1,2
s7_00031,0,0,0,2,1
s7_00032,1,1,0,1,2
s7_00033,0,0,0,2,4
s7_00034,1,1,0,2,4
s7_00035,1,1,0,2,1
s7_00036,0,0,1,1,1
s7_00037,1,1,0,2,4
s7_00038,0,0,0,2,4
s7_00039,0,0,1,2,1
s7_00040,0,0,0,0,4
s7_00041,1,1,0,1,4
s7_00042,1,1,1,1,1
s7_00043,0,0,0,2,2
s7_00044,1,1,0,1,4
s7_00045,0,0,1,2,4
s7_00046,1,1,1,2,3
s7_00047,0,1,1,1,2
s7_00048,1,0,1,2,0
s7_00049,0,0,0,2,1
s7_00050,1,1,0,1,1
s7_00051,1,1,1,2,1
s7_00052,0,0,0,2,3
s7_00053,1,0,1,2,4
s7_00054,1,1,1,1,1
s7_00055,0,0,1,2,0
s7_00056,0,0,0,2,2
s7_00057,0,0,0,2,1
s7_00058,0,0,1,2,0
s7_00059,1,1,0,2,0
s7_00060,1,0,1,2,1
s7_00061,0,0,1,1,2
s7_00062,1,1,0,0,0
s7_00063,0,0,1,1,4
s7_00064,0,0,1,2,1
s7_00065,1,1,0,2,1
s7_00066,0,0,0,2,1
s7_00067,0,0,0,1,4
s7_00068,1,1,1,1,2
s7_00069,0,0,1,2,0
s7_00070,1,1,1,1,4
s7_00071,0,1,0,1,3
s7_00072,0,0,0,1,3
s7_00073,0,0,1,2,4
s7_00074,0,0,0,1,4
s7_00075,0,0,0,1,4
s7_00076,0,0,1,0,4
s7_00077,0,0,0,2,0
s7_00078,0,0,1,2,2
s7_00079,0,0,0,2,3
s7_00080,1,1,1,2,0
s7_00081,0,0,1,2,0
s7_00082,1,1,0,2,0
s7_00083,0,0,0,2,1
s7_00084,0,0,1,1,4
s7_00085,0,0,1,2,1
s7_00086,1,1,1,1,3
s7_00087,1,1,0,2,1
s7_00088,0,0,1,1,0
s7_00089,1,1,1,1,2
s7_00090,1,1,1,2,4
s7_00091,0,0,0,2,1
s7_00092,0,1,1,2,3
s7_00093,0,0,1,2,4
s7_00094,0,0,1,2,0
s7_00095,0,0,1,1,3
s7_00096,1,1,0,1,2
s7_00097,1,1,0,1,0
s7_00098,0,0,0,2,0
s7_00099,0,1,1,1,4
s7_00100,0,0,1,2,3
s7_00101,0,0,1,1,4
s7_00102,1,1,0,2,4
s7_00103,1,1,0,2,3
s7_00104,0,0,0,2,1
s7_00105,0,0,0,1,0
s7_00106,0,0,1,2,1
s7_00107,1,0,1,1,1
s7_00108,1,0,1,1,1
s7_00109,1,1,1,1,1
s7_00110,0,0,1,2,0
s7_00111,0,1,0,1,1
s7_00112,0,0,0,2,3
s7_00113,0,0,0,2,0
s7_00114,0,0,1,2,3
s7_00115,1,1,1,1,3
s7_00116,1,1,1,1,2
s7_00117,0,0,0,2,0
s7_00118,0,0,0,1,3
s7_00119,0,0,0,1,1
s7_00120,0,0,0,2,1
s7_00121,0,1,0,1,0
s7_00122,0,0,0,2,1
s7_00123,0,0,0,2,2
s7_00124,0,0,1,2,3
s7_00125,0,0,0,2,4
s7_00126,1,1,0,2,2
s7_00127,0,1,1,2,3
s7_00128,1,1,0,2,4
s7_00129,1,0,0,2,1
s7_00130,0,0,1,1,1
s7_00131,0,0,1,2,1
s7_00132,0,0,0,2,1
s7_00133,0,0,0,1,1
s7_00134,0,0,1,2,0
s7_00135,1,1,1,2,2
s7_00136,0,0,1,1,0
s7_00137,0,0,0,2,4
s7_00138,1,1,0,2,1
s7_00139,0,0,1,2,1
s7_00140,0,0,0,1,2
s7_00141,0,0,0,1,1
s7_00142,1,1,0,2,0
s7_00143,1,1,1,2,1
s7_00144,0,0,0,1,4
s7_00145,1,1,1,2,4
s7_00146,0,0,0,1,4
s7_00147,0,0,1,1,0
s7_00148,0,0,0,2,0
s7_00149,0,0,0,1,0
s7_00150,0,0,1,2,0
s7_00151,0,0,0,2,1
s7_00152,1,1,0,2,0
s7_00153,0,0,0,1,4
s7_00154,1,0,1,1,4
s7_00155,0,0,1,0,4
s7_00156,0,0,1,2,1
s7_00157,0,0,0,1,0
s7_00158,1,0,1,2,3
s7_00159,0,0,1,2,3
s7_00160,0,0,1,2,4
s7_00161,0,0,1,1,4
s7_00162,1,1,0,1,2
s7_00163,1,0,0,1,0
s7_00164,1,1,0,2,0
s7_00165,1,1,1,2,1
s7_00166,1,1,1,1,1
s7_00167,0,0,0,2,4
s7_00168,1,1,1,1,1
s7_00169,1,1,1,1,4
s7_00170,0,0,0,2,1
s7_00171,1,1,1,1,0
s7_00172,1,1,1,1,4
s7_00173,1,1,0,2,2
s7_00174,1,1,0,2,1
s7_00175,0,0,0,1,0
s7_00176,1,1,0,1,1
s7_00177,0,0,0,2,0
s7_00178,0,0,1,2,3
s7_00179,1,1,1,2,0
s7_00180,1,1,1,2,1
s7_00181,1,1,0,2,3
s7_00182,0,0,0,2,0
s7_00183,1,1,0,0,1
s7_00184,1,1,0,2,4
s7_00185,1,1,1,1,0
s7_00186,0,0,0,1,3
s7_00187,0,0,0,2,0
s7_00188,0,0,1,2,0
s7_00189,0,0,1,2,1
s7_00190,0,0,0,2,0
s7_00191,1,1,0,2,0
s7_00192,1,1,0,0,1
s7_00193,0,0,1,0,3
s7_00194,0,0,1,2,4
s7_00195,0,0,1,2,3
s7_00196,1,1,1,2,4
s7_00197,1,1,1,1,0
s7_00198,1,1,1,2,4
s7_00199,0,0,0,2,1
s7_00200,0,0,0,2,1
s7_00201,1,1,0,1,1
s7_00202,0,0,1,2,3
s7_00203,0,0,0,2,1
s7_00204,0,0,0,2,1
s7_00205,0,0,1,2,4
s7_00206,0,0,1,1,4
s7_00207,1,0,0,2,3
s7_00208,0,0,1,1,0
s7_00209,1,1,1,2,1
s7_00210,0,0,1,2,0
s7_00211,0,0,0,2,2
s7_00212,0,0,0,0,3
s7_00213,0,0,1,1,3
s7_00214,1,1,0,1,0
s7_00215,0,0,0,2,1
s7_00216,1,0,1,2,3
s7_00217,1,1,0,2,1
s7_00218,0,0,0,2,0
s7_00219,0,0,0,2,0
s7_00220,0,0,0,2,0
s7_00221,1,1,1,1,3
s7_00222,1,1,1,1,1
s7_00223,0,0,1,2,0
s7_00224,0,0,1,2,2
s7_00225,0,0,1,2,0
s7_00226,0,1,0,2,0
s7_00227,1,1,0,2,4
s7_00228,0,0,1,1,4
s7_00229,1,1,0,2,1
s7_00230,0,0,0,1,1
s7_00231,0,0,1,2,1
s7_00232,0,0,0,1,1
s7_00233,0,0,1,2,4
s7_00234,0,0,0,2,4
s7_00235,1,1,1,2,0
s7_00236,1,1,1,2,0
s7_00237,1,0,0,2,1
s7_00238,1,1,1,1,0
s7_00239,0,0,1,2,4
s7_00240,1,0,1,1,0
s7_00241,1,1,0,2,4
s7_00242,0,0,0,1,0
s7_00243,1,0,0,2,4
s7_00244,0,0,0,2,4
s7_00245,0,0,0,2,0
s7_00246,1,1,0,0,1
s7_00247,1,1,1,2,3
s7_00248,1,1,1,1,2
s7_00249,0,0,1,2,4
s7_00250,0,0,0,1,0
s7_00251,0,0,1,2,1
s7_00252,1,1,0,1,0
s7_00253,0,1,0,2,0
s7_00254,0,1,1,0,4
s7_00255,0,0,1,2,0
s7_00256,0,0,1,1,0
s7_00257,0,0,1,1,0
s7_00258,1,0,1,0,0
s7_00259,1,1,1,2,0
s7_00260,1,1,1,1,4
s7_00261,1,1,1,1,0
s7_00262,1,1,0,1,4
s7_00263,0,0,1,2,3
s7_00264,0,0,1,1,1
s7_00265,0,0,0,2,4
s7_00266,1,1,1,2,0
s7_00267,1,0,0,2,1
s7_00268,1,0,0,2,4
s7_00269,0,0,0,2,4
s7_00270,1,1,1,2,4
s7_00271,0,0,0,1,4
s7_00272,0,0,1,2,1
s7_00273,1,0,1,2,1
s7_00274,1,1,0,2,1
s7_00275,1,1,0,2,1
s7_00276,0,0,0,2,1
s7_00277,1,0,0,2,1
s7_00278,1,1,1,2,3
s7_00279,1,1,1,0,3
s7_00280,1,1,0,2,0
s7_00281,0,0,0,2,4
