eye_angle,eye_lashes,eye_lid,chin_length,eyebrow_weight,eyebrow_shape,eyebrow_thickness,face_shape,facial_hair,hair,eye_color,face_color,hair_color,glasses,glasses_color,eye_slant,eyebrow_width,eye_eyebrow_distance,filename,csv_file
2,0,0,0,1,7,2,3,14,82,0,6,7,3,0,1,2,1,s5_00000.csv.png,s5_00000.csv
1,1,1,0,0,4,0,3,14,77,0,5,7,5,4,2,1,1,s5_00001.csv.png,s5_00001.csv
2,0,0,1,1,5,0,3,14,62,4,6,5,3,3,2,0,1,s5_00002.csv.png,s5_00002.csv
1,0,1,1,0,10,1,2,14,54,0,10,6,3,0,1,0,1,s5_00003.csv.png,s5_00003.csv
0,1,1,0,0,7,3,4,3,29,4,9,6,3,1,2,1,2,s5_00004.csv.png,s5_00004.csv
2,0,0,1,1,6,2,0,14,70,4,9,5,3,6,0,1,0,s5_00005.csv.png,s5_00005.csv
1,1,1,1,1,13,3,0,9,55,1,5,3,5,6,0,2,1,s5_00006.csv.png,s5_00006.csv
2,1,0,1,1,2,3,5,5,64,3,10,4,5,3,2,2,1,s5_00007.csv.png,s5_00007.csv
1,1,1,0,0,4,2,4,7,53,1,4,4,5,4,2,0,0,s5_00008.csv.png,s5_00008.csv
0,0,1,1,1,1,2,4,14,4,4,4,1,5,6,0,0,1,s5_00009.csv.png,s5_00009.csv
0,1,0,1,0,5,0,4,10,43,1,5,2,4,5,1,0,0,s5_00010.csv.png,s5_00010.csv
0,0,1,1,1,10,0,5,14,107,3,6,0,3,5,0,1,2,s5_00011.csv.png,s5_00011.csv
2,0,0,0,1,6,3,3,8,68,3,8,7,5,2,2,2,1,s5_00012.csv.png,s5_00012.csv
0,1,0,0,1,0,3,6,14,70,2,6,1,4,4,0,0,2,s5_00013.csv.png,s5_00013.csv
2,1,1,0,1,4,1,6,1,58,3,8,0,5,6,1,2,0,s5_00014.csv.png,s5_00014.csv
0,0,1,2,1,5,3,5,1,22,2,9,6,3,5,1,0,1,s5_00015.csv.png,s5_00015.csv
0,0,1,2,1,1,0,0,14,76,0,7,2,4,0,0,2,1,s5_00016.csv.png,s5_00016.csv
0,0,1,2,1,6,3,2,12,103,2,9,0,5,2,2,1,1,s5_00017.csv.png,s5_00017.csv
2,1,0,1,0,3,2,0,10,45,4,10,0,4,0,2,1,2,s5_00018.csv.png,s5_00018.csv
0,1,1,2,1,4,3,2,14,49,4,7,2,3,5,2,2,1,s5_00019.csv.png,s5_00019.csv
2,1,1,0,0,2,2,0,2,51,3,9,4,5,4,1,0,0,s5_00020.csv.png,s5_00020.csv
0,0,1,0,0,10,3,2,12,84,2,10,1,3,3,0,1,2,s5_00021.csv.png,s5_00021.csv
1,0,0,0,0,9,2,0,14,22,3,8,2,3,1,2,0,1,s5_00022.csv.png,s5_00022.csv
2,0,0,2,0,4,3,3,14,110,1,7,4,4,1,1,0,2,s5_00023.csv.png,s5_00023.csv
0,0,0,2,0,13,2,3,2,77,0,10,8,3,6,2,0,1,s5_00024.csv.png,s5_00024.csv
0,1,1,0,0,6,3,6,4,80,1,8,9,3,1,0,0,2,s5_00025.csv.png,s5_00025.csv
1,0,0,1,1,0,1,1,1,99,3,9,0,4,5,2,1,2,s5_00026.csv.png,s5_00026.csv
0,1,1,2,0,5,3,6,6,83,3,6,6,5,5,1,2,1,s5_00027.csv.png,s5_00027.csv
1,1,0,0,1,1,0,0,14,73,1,5,7,5,4,1,1,1,s5_00028.csv.png,s5_00028.csv
1,0,0,0,1,6,3,1,14,29,4,7,4,4,1,1,0,2,s5_00029.csv.png,s5_00029.csv
0,1,1,0,1,4,1,0,11,46,4,4,7,5,2,2,1,1,s5_00030.csv.png,s5_00030.csv
0,0,0,2,0,9,3,5,14,34,4,6,0,3,3,0,0,0,s5_00031.csv.png,s5_00031.csv
1,1,0,1,0,2,2,5,14,22,0,9,2,4,3,1,1,0,s5_00032.csv.png,s5_00032.csv
1,1,0,1,1,10,1,5,8,57,3,10,5,4,5,1,2,0,s5_00033.csv.png,s5_00033.csv
0,1,1,1,1,0,1,2,6,75,0,7,8,5,3,1,2,2,s5_00034.csv.png,s5_00034.csv
1,1,0,0,1,9,0,3,4,32,2,7,7,4,2,2,1,2,s5_00035.csv.png,s5_00035.csv
0,1,0,1,1,0,1,2,14,76,3,6,2,4,5,0,0,2,s5_00036.csv.png,s5_00036.csv
0,0,1,1,1,11,1,6,3,66,3,5,2,5,2,0,0,0,s5_00037.csv.png,s5_00037.csv
1,0,0,1,1,4,0,5,14,4,2,9,3,5,6,2,0,0,s5_00038.csv.png,s5_00038.csv
2,0,1,2,1,5,3,6,4,11,4,10,7,4,3,0,0,2,s5_00039.csv.png,s5_00039.csv
2,1,0,2,0,10,3,2,14,78,4,10,4,3,4,2,1,0,s5_00040.csv.png,s5_00040.csv
0,0,1,0,0,2,0,3,10,35,2,10,8,5,6,1,0,0,s5_00041.csv.png,s5_00041.csv
0,1,1,1,0,1,3,6,1,61,0,9,2,3,1,1,0,1,s5_00042.csv.png,s5_00042.csv
1,0,1,1,0,10,2,1,12,39,3,9,9,5,6,0,2,0,s5_00043.csv.png,s5_00043.csv
2,0,1,0,1,5,1,6,14,21,1,6,2,5,0,2,1,1,s5_00044.csv.png,s5_00044.csv
1,0,0,1,1,9,1,1,14,31,2,7,3,5,0,2,2,0,s5_00045.csv.png,s5_00045.csv
0,1,1,0,1,2,0,1,14,35,2,9,1,4,4,0,0,0,s5_00046.csv.png,s5_00046.csv
1,1,0,2,1,11,3,5,5,9,0,7,2,5,6,2,2,2,s5_00047.csv.png,s5_00047.csv
2,1,1,2,0,3,0,0,12,86,1,9,2,4,4,0,0,2,s5_00048.csv.png,s5_00048.csv
2,1,0,0,0,9,0,1,3,78,1,7,3,4,2,2,0,1,s5_00049.csv.png,s5_00049.csv
0,0,1,2,1,4,1,2,3,37,2,10,3,4,6,1,1,0,s5_00050.csv.png,s5_00050.csv
0,1,1,2,1,11,1,1,14,6,2,10,7,4,0,1,2,2,s5_00051.csv.png,s5_00051.csv
2,1,1,0,1,10,3,6,11,6,3,6,9,4,0,0,0,1,s5_00052.csv.png,s5_00052.csv
1,0,1,0,0,8,1,4,14,25,0,9,7,5,4,2,1,0,s5_00053.csv.png,s5_00053.csv
1,1,1,1,1,11,2,5,14,24,3,10,2,3,5,1,0,2,s5_00054.csv.png,s5_00054.csv
0,0,0,0,0,3,1,6,14,50,0,10,8,3,6,1,0,2,s5_00055.csv.png,s5_00055.csv
2,0,1,0,0,6,0,0,14,88,4,5,0,3,4,2,0,0,s5_00056.csv.png,s5_00056.csv
0,0,0,2,1,3,2,2,12,56,2,8,1,3,1,2,2,1,s5_00057.csv.png,s5_00057.csv
0,1,1,2,0,8,0,1,14,105,0,8,3,5,0,2,1,1,s5_00058.csv.png,s5_00058.csv
1,0,1,2,1,11,2,2,0,75,4,5,7,3,6,0,2,2,s5_00059.csv.png,s5_00059.csv
0,1,1,1,1,10,0,6,4,24,1,5,2,5,4,1,2,2,s5_00060.csv.png,s5_00060.csv
2,0,0,2,0,8,2,1,4,90,0,7,8,3,0,2,1,1,s5_00061.csv.png,s5_00061.csv
0,1,0,1,1,13,3,2,14,4,3,6,3,4,0,2,1,0,s5_00062.csv.png,s5_00062.csv
2,0,0,0,1,5,2,3,14,16,4,6,1,4,3,0,1,2,s5_00063.csv.png,s5_00063.csv
